rl	V(vo)	I(RL)
1.905460717963280e-02	8.188677e-03	4.297478e-01
1.927524913190969e-02	8.283907e-03	4.297691e-01
1.949844599758079e-02	8.380248e-03	4.297906e-01
1.972422736114888e-02	8.477716e-03	4.298123e-01
1.995262314968914e-02	8.576322e-03	4.298343e-01
2.018366363681596e-02	8.676080e-03	4.298566e-01
2.041737944669565e-02	8.777005e-03	4.298791e-01
2.065380155810565e-02	8.879107e-03	4.299019e-01
2.089296130854076e-02	8.982404e-03	4.299249e-01
2.113489039836684e-02	9.086908e-03	4.299482e-01
2.137962089502270e-02	9.192634e-03	4.299718e-01
2.162718523727059e-02	9.299596e-03	4.299957e-01
2.187761623949592e-02	9.407808e-03	4.300198e-01
2.213094709605678e-02	9.517286e-03	4.300442e-01
2.238721138568380e-02	9.628044e-03	4.300689e-01
2.264644307593101e-02	9.740097e-03	4.300939e-01
2.290867652767815e-02	9.853462e-03	4.301192e-01
2.317394649968521e-02	9.968152e-03	4.301448e-01
2.344228815319965e-02	1.008418e-02	4.301707e-01
2.371373705661699e-02	1.020158e-02	4.301969e-01
2.398832919019534e-02	1.032034e-02	4.302233e-01
2.426610095082460e-02	1.044049e-02	4.302501e-01
2.454708915685076e-02	1.056205e-02	4.302773e-01
2.483133105295616e-02	1.068504e-02	4.303047e-01
2.511886431509627e-02	1.080946e-02	4.303325e-01
2.540972705549353e-02	1.093534e-02	4.303605e-01
2.570395782768912e-02	1.106270e-02	4.303889e-01
2.600159563165321e-02	1.119155e-02	4.304177e-01
2.630267991895432e-02	1.132190e-02	4.304468e-01
2.660725059798860e-02	1.145379e-02	4.304762e-01
2.691534803926967e-02	1.158722e-02	4.305060e-01
2.722701308077964e-02	1.172221e-02	4.305361e-01
2.754228703338219e-02	1.185879e-02	4.305665e-01
2.786121168629824e-02	1.199696e-02	4.305974e-01
2.818382931264508e-02	1.213676e-02	4.306285e-01
2.851018267503964e-02	1.227820e-02	4.306601e-01
2.884031503126662e-02	1.242129e-02	4.306920e-01
2.917427014001224e-02	1.256607e-02	4.307243e-01
2.951209226666444e-02	1.271254e-02	4.307570e-01
2.985382618918018e-02	1.286073e-02	4.307900e-01
3.019951720402076e-02	1.301066e-02	4.308235e-01
3.054921113215574e-02	1.316235e-02	4.308573e-01
3.090295432513652e-02	1.331582e-02	4.308916e-01
3.126079367124017e-02	1.347110e-02	4.309262e-01
3.162277660168442e-02	1.362819e-02	4.309613e-01
3.198895109691462e-02	1.378713e-02	4.309967e-01
3.235936569296348e-02	1.394794e-02	4.310326e-01
3.273406948788447e-02	1.411064e-02	4.310689e-01
3.311311214825978e-02	1.427525e-02	4.311056e-01
3.349654391578344e-02	1.444179e-02	4.311428e-01
3.388441561392094e-02	1.461030e-02	4.311804e-01
3.427677865464574e-02	1.478078e-02	4.312184e-01
3.467368504525388e-02	1.495327e-02	4.312569e-01
3.507518739525752e-02	1.512778e-02	4.312958e-01
3.548133892335828e-02	1.530435e-02	4.313352e-01
3.589219346450127e-02	1.548300e-02	4.313751e-01
3.630780547701089e-02	1.566375e-02	4.314154e-01
3.672823004980923e-02	1.584662e-02	4.314562e-01
3.715352290971803e-02	1.603165e-02	4.314975e-01
3.758374042884521e-02	1.621886e-02	4.315393e-01
3.801893963205692e-02	1.640827e-02	4.315815e-01
3.845917820453617e-02	1.659992e-02	4.316243e-01
3.890451449942889e-02	1.679382e-02	4.316675e-01
3.935500754557858e-02	1.699000e-02	4.317113e-01
3.981071705535057e-02	1.718850e-02	4.317556e-01
4.027170343254678e-02	1.738934e-02	4.318004e-01
4.073802778041215e-02	1.759254e-02	4.318458e-01
4.120975190973390e-02	1.779815e-02	4.318916e-01
4.168693834703444e-02	1.800617e-02	4.319381e-01
4.216965034285914e-02	1.821666e-02	4.319850e-01
4.265795188016019e-02	1.842962e-02	4.320325e-01
4.315190768277746e-02	1.864510e-02	4.320806e-01
4.365158322401755e-02	1.886313e-02	4.321293e-01
4.415704473533221e-02	1.908372e-02	4.321785e-01
4.466835921509730e-02	1.930693e-02	4.322283e-01
4.518559443749323e-02	1.953277e-02	4.322787e-01
4.570881896148851e-02	1.976128e-02	4.323297e-01
4.623810213992705e-02	1.999249e-02	4.323812e-01
4.677351412872086e-02	2.022643e-02	4.324334e-01
4.731512589614911e-02	2.046314e-02	4.324863e-01
4.786300923226491e-02	2.070265e-02	4.325397e-01
4.841723675841102e-02	2.094499e-02	4.325938e-01
4.897788193684572e-02	2.119021e-02	4.326485e-01
4.954501908048014e-02	2.143832e-02	4.327038e-01
5.011872336272837e-02	2.168937e-02	4.327599e-01
5.069907082747159e-02	2.194340e-02	4.328165e-01
5.128613839913766e-02	2.220043e-02	4.328739e-01
5.188000389289729e-02	2.246051e-02	4.329319e-01
5.248074602497847e-02	2.272367e-02	4.329906e-01
5.308844442310006e-02	2.298995e-02	4.330500e-01
5.370317963702651e-02	2.325939e-02	4.331101e-01
5.432503314924457e-02	2.353203e-02	4.331709e-01
5.495408738576373e-02	2.380790e-02	4.332325e-01
5.559042572704165e-02	2.408704e-02	4.332948e-01
5.623413251903622e-02	2.436950e-02	4.333578e-01
5.688529308438547e-02	2.465531e-02	4.334216e-01
5.754399373371704e-02	2.494452e-02	4.334861e-01
5.821032177708851e-02	2.523716e-02	4.335513e-01
5.888436553556028e-02	2.553328e-02	4.336174e-01
5.956621435290246e-02	2.583292e-02	4.336841e-01
6.025595860743720e-02	2.613613e-02	4.337518e-01
6.095368972401836e-02	2.644294e-02	4.338202e-01
6.165950018614968e-02	2.675340e-02	4.338894e-01
6.237348354824342e-02	2.706756e-02	4.339594e-01
6.309573444802083e-02	2.738546e-02	4.340303e-01
6.382634861905639e-02	2.770715e-02	4.341020e-01
6.456542290346710e-02	2.803266e-02	4.341746e-01
6.531305526474881e-02	2.836206e-02	4.342480e-01
6.606934480076120e-02	2.869539e-02	4.343223e-01
6.683439175686307e-02	2.903269e-02	4.343975e-01
6.760829753919982e-02	2.937402e-02	4.344736e-01
6.839116472814460e-02	2.971942e-02	4.345506e-01
6.918309709189535e-02	3.006895e-02	4.346285e-01
6.998419960022906e-02	3.042265e-02	4.347074e-01
7.079457843841552e-02	3.078057e-02	4.347872e-01
7.161434102129198e-02	3.114278e-02	4.348679e-01
7.244359600750080e-02	3.150931e-02	4.349496e-01
7.328245331389222e-02	3.188023e-02	4.350323e-01
7.413102413009361e-02	3.225559e-02	4.351159e-01
7.498942093324747e-02	3.263544e-02	4.352006e-01
7.585775750292029e-02	3.301984e-02	4.352863e-01
7.673614893618383e-02	3.340885e-02	4.353730e-01
7.762471166287112e-02	3.380251e-02	4.354607e-01
7.852356346100917e-02	3.420090e-02	4.355495e-01
7.943282347243016e-02	3.460407e-02	4.356394e-01
8.035261221856377e-02	3.501207e-02	4.357303e-01
8.128305161641199e-02	3.542497e-02	4.358223e-01
8.222426499470922e-02	3.584283e-02	4.359154e-01
8.317637711026922e-02	3.626570e-02	4.360097e-01
8.413951416452166e-02	3.669367e-02	4.361050e-01
8.511380382023982e-02	3.712678e-02	4.362016e-01
8.609937521846227e-02	3.756509e-02	4.362992e-01
8.709635899561032e-02	3.800868e-02	4.363981e-01
8.810488730080369e-02	3.845761e-02	4.364980e-01
8.912509381337687e-02	3.891195e-02	4.365993e-01
9.015711376059803e-02	3.937177e-02	4.367017e-01
9.120108393559334e-02	3.983712e-02	4.368054e-01
9.225714271547872e-02	4.030810e-02	4.369103e-01
9.332543007970155e-02	4.078475e-02	4.370165e-01
9.440608762859481e-02	4.126716e-02	4.371239e-01
9.549925860214611e-02	4.175539e-02	4.372326e-01
9.660508789898389e-02	4.224953e-02	4.373427e-01
9.772372209558365e-02	4.274964e-02	4.374541e-01
9.885530946569650e-02	4.325580e-02	4.375668e-01
1.000000000000027e-01	4.376809e-02	4.376808e-01
1.011579454259926e-01	4.428657e-02	4.377963e-01
1.023292992280781e-01	4.481134e-02	4.379131e-01
1.035142166679372e-01	4.534247e-02	4.380313e-01
1.047128548050928e-01	4.588004e-02	4.381510e-01
1.059253725177317e-01	4.642413e-02	4.382721e-01
1.071519305237635e-01	4.697483e-02	4.383946e-01
1.083926914021233e-01	4.753222e-02	4.385186e-01
1.096478196143215e-01	4.809638e-02	4.386442e-01
1.109174815262431e-01	4.866739e-02	4.387712e-01
1.122018454301994e-01	4.924536e-02	4.388998e-01
1.135010815672346e-01	4.983036e-02	4.390298e-01
1.148153621496914e-01	5.042249e-02	4.391615e-01
1.161448613840375e-01	5.102183e-02	4.392948e-01
1.174897554939562e-01	5.162848e-02	4.394296e-01
1.188502227437051e-01	5.224254e-02	4.395661e-01
1.202264434617446e-01	5.286409e-02	4.397043e-01
1.216186000646402e-01	5.349323e-02	4.398441e-01
1.230268770812416e-01	5.413006e-02	4.399857e-01
1.244514611771420e-01	5.477557e-02	4.401360e-01
1.258925411794203e-01	5.542815e-02	4.402815e-01
1.273503081016697e-01	5.608874e-02	4.404288e-01
1.288249551693170e-01	5.675743e-02	4.405779e-01
1.303166778452336e-01	5.743432e-02	4.407288e-01
1.318256738556444e-01	5.811952e-02	4.408816e-01
1.333521432163362e-01	5.881314e-02	4.410363e-01
1.348962882591692e-01	5.951528e-02	4.411929e-01
1.364583136588964e-01	6.022606e-02	4.413514e-01
1.380384264602924e-01	6.094560e-02	4.415118e-01
1.396368361055978e-01	6.167399e-02	4.416742e-01
1.412537544622795e-01	6.241137e-02	4.418387e-01
1.428893958511144e-01	6.315784e-02	4.420051e-01
1.445439770745969e-01	6.391353e-02	4.421736e-01
1.462177174456760e-01	6.467856e-02	4.423442e-01
1.479108388168250e-01	6.545305e-02	4.425169e-01
1.496235656094477e-01	6.623711e-02	4.426917e-01
1.513561248436252e-01	6.703090e-02	4.428687e-01
1.531087461682075e-01	6.783451e-02	4.430479e-01
1.548816618912527e-01	6.864810e-02	4.432293e-01
1.566751070108195e-01	6.947178e-02	4.434130e-01
