time	V(vo)	V(vregp)
Step Information: Cx=1n  (Run: 1/3)
1.758336283051115e-003	4.992733e+000	9.500000e+000
1.762336283051114e-003	4.992733e+000	9.500000e+000
1.763336283051114e-003	4.992733e+000	9.500000e+000
1.764050293392539e-003	4.992733e+000	9.500000e+000
1.764731078669897e-003	4.992733e+000	9.500000e+000
1.766315714741976e-003	4.992733e+000	9.500000e+000
1.768315714741976e-003	4.992733e+000	9.500000e+000
1.772315714741976e-003	4.992733e+000	9.500000e+000
1.773315714741976e-003	4.992733e+000	9.500000e+000
1.774042359878072e-003	4.992733e+000	9.500000e+000
1.774723907118132e-003	4.992733e+000	9.500000e+000
1.775540485112480e-003	4.992733e+000	9.500000e+000
1.776178452427541e-003	4.992733e+000	9.500000e+000
1.778178452427541e-003	4.992733e+000	9.500000e+000
1.782178452427541e-003	4.992733e+000	9.500000e+000
1.783178452427541e-003	4.992733e+000	9.500000e+000
1.783988934100391e-003	4.992733e+000	9.500000e+000
1.784343228632225e-003	4.992733e+000	9.500000e+000
1.785298297437751e-003	4.992733e+000	9.500000e+000
1.785785449033700e-003	4.992733e+000	9.500000e+000
1.787573968233151e-003	4.992733e+000	9.500000e+000
1.788573968233151e-003	4.992733e+000	9.500000e+000
1.791573968233150e-003	4.992733e+000	9.500000e+000
1.793573968233150e-003	4.992733e+000	9.500000e+000
1.794140853404597e-003	4.992733e+000	9.500000e+000
1.794813388982106e-003	4.992733e+000	9.500000e+000
1.795675319611680e-003	4.992733e+000	9.500000e+000
1.796396459448807e-003	4.992733e+000	9.500000e+000
1.797396459448806e-003	4.992733e+000	9.500000e+000
1.798396459448806e-003	4.992733e+000	9.500000e+000
1.802396459448806e-003	4.992733e+000	9.500000e+000
1.803396459448806e-003	4.992733e+000	9.500000e+000
1.804073407035948e-003	4.992733e+000	9.500000e+000
1.804752009224403e-003	4.992733e+000	9.500000e+000
1.805638058481624e-003	4.992733e+000	9.500000e+000
1.806336283051115e-003	4.992733e+000	9.500000e+000
1.808336283051115e-003	4.992733e+000	9.500000e+000
1.812336283051114e-003	4.992733e+000	9.500000e+000
1.813336283051114e-003	4.992733e+000	9.500000e+000
1.814050293392539e-003	4.992733e+000	9.500000e+000
1.814731078669897e-003	4.992733e+000	9.500000e+000
1.816315714741977e-003	4.992733e+000	9.500000e+000
1.818315714741976e-003	4.992733e+000	9.500000e+000
1.822315714741976e-003	4.992733e+000	9.500000e+000
1.823315714741976e-003	4.992733e+000	9.500000e+000
1.824042359878073e-003	4.992733e+000	9.500000e+000
1.824723907118132e-003	4.992733e+000	9.500000e+000
1.825540485112480e-003	4.992733e+000	9.500000e+000
1.826178452427542e-003	4.992733e+000	9.500000e+000
1.828178452427542e-003	4.992733e+000	9.500000e+000
1.832178452427542e-003	4.992733e+000	9.500000e+000
1.833178452427541e-003	4.992733e+000	9.500000e+000
1.833988934100391e-003	4.992733e+000	9.500000e+000
1.834343228632225e-003	4.992733e+000	9.500000e+000
1.835298297437752e-003	4.992733e+000	9.500000e+000
1.835785449033700e-003	4.992733e+000	9.500000e+000
1.837573968233151e-003	4.992733e+000	9.500000e+000
1.838573968233151e-003	4.992733e+000	9.500000e+000
1.842573968233151e-003	4.992733e+000	9.500000e+000
1.843573968233150e-003	4.992733e+000	9.500000e+000
1.844140853404597e-003	4.992733e+000	9.500000e+000
1.844813388982106e-003	4.992733e+000	9.500000e+000
1.845675319611680e-003	4.992733e+000	9.500000e+000
1.846396459448807e-003	4.992733e+000	9.500000e+000
1.848396459448807e-003	4.992733e+000	9.500000e+000
1.852396459448806e-003	4.992733e+000	9.500000e+000
1.853396459448806e-003	4.992733e+000	9.500000e+000
1.854073407035948e-003	4.992733e+000	9.500000e+000
1.854752009224402e-003	4.992733e+000	9.500000e+000
1.855638058481624e-003	4.992733e+000	9.500000e+000
1.856336283051115e-003	4.992733e+000	9.500000e+000
1.858336283051115e-003	4.992733e+000	9.500000e+000
1.862336283051115e-003	4.992733e+000	9.500000e+000
1.863336283051114e-003	4.992733e+000	9.500000e+000
1.864050293392540e-003	4.992733e+000	9.500000e+000
1.864731078669898e-003	4.992733e+000	9.500000e+000
1.867315714741976e-003	4.992733e+000	9.500000e+000
1.868315714741976e-003	4.992733e+000	9.500000e+000
1.872315714741976e-003	4.992733e+000	9.500000e+000
1.873315714741976e-003	4.992733e+000	9.500000e+000
1.874042359878073e-003	4.992733e+000	9.500000e+000
1.874723907118133e-003	4.992733e+000	9.500000e+000
1.875540485112481e-003	4.992733e+000	9.500000e+000
1.876178452427543e-003	4.992733e+000	9.500000e+000
1.878178452427543e-003	4.992733e+000	9.500000e+000
1.882178452427543e-003	4.992733e+000	9.500000e+000
1.883178452427542e-003	4.992733e+000	9.500000e+000
1.883988934100391e-003	4.992733e+000	9.500000e+000
1.884343228632225e-003	4.992733e+000	9.500000e+000
1.885298297437752e-003	4.992733e+000	9.500000e+000
1.885785449033700e-003	4.992733e+000	9.500000e+000
1.887573968233152e-003	4.992733e+000	9.500000e+000
1.888573968233152e-003	4.992733e+000	9.500000e+000
1.892573968233151e-003	4.992733e+000	9.500000e+000
1.893573968233151e-003	4.992733e+000	9.500000e+000
1.894140853404597e-003	4.992733e+000	9.500000e+000
1.894813388982106e-003	4.992733e+000	9.500000e+000
1.895675319611680e-003	4.992733e+000	9.500000e+000
1.896396459448807e-003	4.992733e+000	9.500000e+000
1.898396459448807e-003	4.992733e+000	9.500000e+000
1.902396459448807e-003	4.992733e+000	9.500000e+000
1.903396459448806e-003	4.992733e+000	9.500000e+000
1.904073407035948e-003	4.992733e+000	9.500000e+000
1.904752009224403e-003	4.992733e+000	9.500000e+000
1.905638058481624e-003	4.992733e+000	9.500000e+000
1.906336283051115e-003	4.992733e+000	9.500000e+000
1.908336283051115e-003	4.992733e+000	9.500000e+000
1.912336283051114e-003	4.992733e+000	9.500000e+000
1.913336283051114e-003	4.992733e+000	9.500000e+000
1.914050293392540e-003	4.992733e+000	9.500000e+000
1.914731078669897e-003	4.992733e+000	9.500000e+000
1.917315714741976e-003	4.992733e+000	9.500000e+000
1.918315714741976e-003	4.992733e+000	9.500000e+000
1.922315714741976e-003	4.992733e+000	9.500000e+000
1.923315714741976e-003	4.992733e+000	9.500000e+000
1.924042359878072e-003	4.992733e+000	9.500000e+000
1.924723907118133e-003	4.992733e+000	9.500000e+000
1.925540485112481e-003	4.992733e+000	9.500000e+000
1.926178452427543e-003	4.992733e+000	9.500000e+000
1.928178452427543e-003	4.992733e+000	9.500000e+000
1.932178452427542e-003	4.992733e+000	9.500000e+000
1.933178452427542e-003	4.992733e+000	9.500000e+000
1.933988934100391e-003	4.992733e+000	9.500000e+000
1.934343228632225e-003	4.992733e+000	9.500000e+000
1.935298297437752e-003	4.992733e+000	9.500000e+000
1.935785449033700e-003	4.992733e+000	9.500000e+000
1.937573968233152e-003	4.992733e+000	9.500000e+000
1.938573968233152e-003	4.992733e+000	9.500000e+000
1.942573968233151e-003	4.992733e+000	9.500000e+000
1.943573968233151e-003	4.992733e+000	9.500000e+000
1.944140853404597e-003	4.992733e+000	9.500000e+000
1.944813388982106e-003	4.992733e+000	9.500000e+000
1.945675319611680e-003	4.992733e+000	9.500000e+000
1.946396459448807e-003	4.992733e+000	9.500000e+000
1.948396459448807e-003	4.992733e+000	9.500000e+000
1.952396459448806e-003	4.992733e+000	9.500000e+000
1.953396459448806e-003	4.992733e+000	9.500000e+000
1.954073407035948e-003	4.992733e+000	9.500000e+000
1.954752009224403e-003	4.992733e+000	9.500000e+000
1.955638058481625e-003	4.992733e+000	9.500000e+000
1.956336283051116e-003	4.992733e+000	9.500000e+000
1.958336283051116e-003	4.992733e+000	9.500000e+000
1.962336283051116e-003	4.992733e+000	9.500000e+000
1.963336283051116e-003	4.992733e+000	9.500000e+000
1.964050293392540e-003	4.992733e+000	9.500000e+000
1.964731078669899e-003	4.992733e+000	9.500000e+000
1.967315714741978e-003	4.992733e+000	9.500000e+000
1.968315714741978e-003	4.992733e+000	9.500000e+000
1.972315714741978e-003	4.992733e+000	9.500000e+000
1.973315714741979e-003	4.992733e+000	9.500000e+000
1.974042359878073e-003	4.992733e+000	9.500000e+000
1.974723907118134e-003	4.992733e+000	9.500000e+000
1.975540485112482e-003	4.992733e+000	9.500000e+000
1.976178452427545e-003	4.992733e+000	9.500000e+000
1.978178452427545e-003	4.992733e+000	9.500000e+000
1.982178452427546e-003	4.992733e+000	9.500000e+000
1.983178452427546e-003	4.992733e+000	9.500000e+000
1.983988934100392e-003	4.992733e+000	9.500000e+000
1.984343228632226e-003	4.992733e+000	9.500000e+000
1.985298297437753e-003	4.992733e+000	9.500000e+000
1.985785449033702e-003	4.992733e+000	9.500000e+000
1.987573968233155e-003	4.992733e+000	9.500000e+000
1.988573968233155e-003	4.992733e+000	9.500000e+000
1.992573968233156e-003	4.992733e+000	9.500000e+000
1.993573968233156e-003	4.992733e+000	9.500000e+000
1.994140853404598e-003	4.992733e+000	9.500000e+000
1.994813388982107e-003	4.992733e+000	9.500000e+000
1.995675319611680e-003	4.992733e+000	9.500000e+000
1.996396459448807e-003	4.992733e+000	9.500000e+000
1.998396459448808e-003	4.992733e+000	9.500000e+000
2.002396459448808e-003	4.992733e+000	9.500000e+000
2.003396459448808e-003	4.992733e+000	9.500000e+000
2.004073407035948e-003	4.992733e+000	9.500000e+000
2.004752009224402e-003	4.992733e+000	9.500000e+000
2.008336283051115e-003	4.992733e+000	9.500000e+000
2.012336283051115e-003	4.992733e+000	9.500000e+000
2.013336283051115e-003	4.992733e+000	9.500000e+000
2.014050293392540e-003	4.992733e+000	9.500000e+000
2.014731078669898e-003	4.992733e+000	9.500000e+000
2.017315714741977e-003	4.992733e+000	9.500000e+000
2.018315714741978e-003	4.992733e+000	9.500000e+000
2.022315714741978e-003	4.992733e+000	9.500000e+000
2.023315714741978e-003	4.992733e+000	9.500000e+000
2.024042359878073e-003	4.992733e+000	9.500000e+000
2.024723907118133e-003	4.992733e+000	9.500000e+000
2.025540485112482e-003	4.992733e+000	9.500000e+000
2.026178452427545e-003	4.992733e+000	9.500000e+000
2.028178452427545e-003	4.992733e+000	9.500000e+000
2.032178452427546e-003	4.992733e+000	9.500000e+000
2.033178452427546e-003	4.992733e+000	9.500000e+000
2.033988934100393e-003	4.992733e+000	9.500000e+000
2.034343228632226e-003	4.992733e+000	9.500000e+000
2.035298297437753e-003	4.992733e+000	9.500000e+000
2.035785449033702e-003	4.992733e+000	9.500000e+000
2.037573968233155e-003	4.992733e+000	9.500000e+000
2.038573968233155e-003	4.992733e+000	9.500000e+000
2.042573968233156e-003	4.992733e+000	9.500000e+000
2.043573968233156e-003	4.992733e+000	9.500000e+000
2.044140853404599e-003	4.992733e+000	9.500000e+000
2.044813388982107e-003	4.992733e+000	9.500000e+000
2.045675319611681e-003	4.992733e+000	9.500000e+000
2.046396459448808e-003	4.992733e+000	9.500000e+000
2.048396459448809e-003	4.992733e+000	9.500000e+000
2.052396459448809e-003	4.992733e+000	9.500000e+000
2.053396459448809e-003	4.992733e+000	9.500000e+000
2.054073407035949e-003	4.992733e+000	9.500000e+000
2.054752009224403e-003	4.992733e+000	9.500000e+000
2.058336283051115e-003	4.992733e+000	9.500000e+000
2.062336283051115e-003	4.992733e+000	9.500000e+000
2.063336283051115e-003	4.992733e+000	9.500000e+000
2.064050293392540e-003	4.992733e+000	9.500000e+000
2.064731078669898e-003	4.992733e+000	9.500000e+000
2.067315714741978e-003	4.992733e+000	9.500000e+000
2.068315714741978e-003	4.992733e+000	9.500000e+000
2.072315714741978e-003	4.992733e+000	9.500000e+000
2.073315714741978e-003	4.992733e+000	9.500000e+000
2.074042359878073e-003	4.992733e+000	9.500000e+000
2.074723907118133e-003	4.992733e+000	9.500000e+000
2.075540485112482e-003	4.992733e+000	9.500000e+000
2.076178452427545e-003	4.992733e+000	9.500000e+000
2.078178452427545e-003	4.992733e+000	9.500000e+000
2.082178452427546e-003	4.992733e+000	9.500000e+000
2.083178452427546e-003	4.992733e+000	9.500000e+000
2.083988934100392e-003	4.992733e+000	9.500000e+000
2.084343228632226e-003	4.992733e+000	9.500000e+000
2.085298297437753e-003	4.992733e+000	9.500000e+000
2.085785449033701e-003	4.992733e+000	9.500000e+000
2.087573968233154e-003	4.992733e+000	9.500000e+000
2.088573968233154e-003	4.992733e+000	9.500000e+000
2.092573968233155e-003	4.992733e+000	9.500000e+000
2.093573968233155e-003	4.992733e+000	9.500000e+000
2.094140853404598e-003	4.992733e+000	9.500000e+000
2.094813388982107e-003	4.992733e+000	9.500000e+000
2.098396459448809e-003	4.992733e+000	9.500000e+000
2.102396459448809e-003	4.992733e+000	9.500000e+000
2.103396459448809e-003	4.992733e+000	9.500000e+000
2.104073407035949e-003	4.992733e+000	9.500000e+000
2.104752009224403e-003	4.992733e+000	9.500000e+000
2.108336283051116e-003	4.992733e+000	9.500000e+000
2.112336283051116e-003	4.992733e+000	9.500000e+000
2.113336283051116e-003	4.992733e+000	9.500000e+000
2.114050293392540e-003	4.992733e+000	9.500000e+000
2.114731078669897e-003	4.992733e+000	9.500000e+000
2.117315714741977e-003	4.992733e+000	9.500000e+000
2.118315714741977e-003	4.992733e+000	9.500000e+000
2.122315714741978e-003	4.992733e+000	9.500000e+000
2.123315714741978e-003	4.992733e+000	9.500000e+000
2.124042359878073e-003	4.992733e+000	9.500000e+000
2.124723907118133e-003	4.992733e+000	9.500000e+000
2.125540485112481e-003	4.992733e+000	9.500000e+000
2.126178452427544e-003	4.992733e+000	9.500000e+000
2.128178452427544e-003	4.992733e+000	9.500000e+000
2.132178452427544e-003	4.992733e+000	9.500000e+000
2.133178452427545e-003	4.992733e+000	9.500000e+000
2.133988934100392e-003	4.992733e+000	9.500000e+000
2.134343228632226e-003	4.992733e+000	9.500000e+000
2.135298297437752e-003	4.992733e+000	9.500000e+000
2.135785449033700e-003	4.992733e+000	9.500000e+000
2.137573968233152e-003	4.992733e+000	9.500000e+000
2.138573968233152e-003	4.992733e+000	9.500000e+000
2.142573968233153e-003	4.992733e+000	9.500000e+000
2.143573968233153e-003	4.992733e+000	9.500000e+000
2.144140853404598e-003	4.992733e+000	9.500000e+000
2.144813388982107e-003	4.992733e+000	9.500000e+000
2.148396459448808e-003	4.992733e+000	9.500000e+000
2.152396459448808e-003	4.992733e+000	9.500000e+000
2.153396459448808e-003	4.992733e+000	9.500000e+000
2.154073407035949e-003	4.992733e+000	9.500000e+000
2.154752009224403e-003	4.992733e+000	9.500000e+000
2.158336283051116e-003	4.992733e+000	9.500000e+000
2.162336283051116e-003	4.992733e+000	9.500000e+000
2.163336283051117e-003	4.992733e+000	9.500000e+000
2.164050293392540e-003	4.992733e+000	9.500000e+000
2.164731078669899e-003	4.992733e+000	9.500000e+000
2.167315714741978e-003	4.992733e+000	9.500000e+000
2.168315714741978e-003	4.992733e+000	9.500000e+000
2.172315714741979e-003	4.992733e+000	9.500000e+000
2.173315714741979e-003	4.992733e+000	9.500000e+000
2.174042359878073e-003	4.992733e+000	9.500000e+000
2.174723907118133e-003	4.992733e+000	9.500000e+000
2.175540485112482e-003	4.992733e+000	9.500000e+000
2.176178452427545e-003	4.992733e+000	9.500000e+000
2.178178452427545e-003	4.992733e+000	9.500000e+000
2.182178452427546e-003	4.992733e+000	9.500000e+000
2.183178452427546e-003	4.992733e+000	9.500000e+000
2.183988934100393e-003	4.992733e+000	9.500000e+000
2.184343228632226e-003	4.992733e+000	9.500000e+000
2.185298297437753e-003	4.992733e+000	9.500000e+000
2.185785449033702e-003	4.992733e+000	9.500000e+000
2.187573968233155e-003	4.992733e+000	9.500000e+000
2.188573968233155e-003	4.992733e+000	9.500000e+000
2.192573968233156e-003	4.992733e+000	9.500000e+000
