time	V(vo)	V(vreg)	I(Rl)
4.877449820737530e-003	4.986786e+000	9.500000e+000	9.973572e-002
4.924592677880385e-003	4.988099e+000	9.500000e+000	9.976197e-002
4.971735535023240e-003	4.989309e+000	9.500000e+000	9.978618e-002
5.018878392166096e-003	4.990433e+000	9.500000e+000	9.980866e-002
5.066021249308951e-003	4.991471e+000	9.500000e+000	9.982942e-002
5.113164106451806e-003	4.992423e+000	9.500000e+000	9.984846e-002
5.160306963594661e-003	4.993289e+000	9.500000e+000	9.986578e-002
5.207449820737516e-003	4.994069e+000	9.500000e+000	9.988137e-002
5.254592677880371e-003	4.994762e+000	9.500000e+000	9.989525e-002
5.301735535023226e-003	4.995402e+000	9.500000e+000	9.990804e-002
5.348878392166082e-003	4.995996e+000	9.500000e+000	9.991992e-002
5.396021249308937e-003	4.996545e+000	9.500000e+000	9.993089e-002
5.443164106451792e-003	4.997048e+000	9.500000e+000	9.994096e-002
5.490306963594648e-003	4.997505e+000	9.500000e+000	9.995011e-002
5.537449820737503e-003	4.997918e+000	9.500000e+000	9.995835e-002
5.584592677880358e-003	4.998284e+000	9.500000e+000	9.996568e-002
5.631735535023213e-003	4.998622e+000	9.500000e+000	9.997244e-002
5.678878392166069e-003	4.998936e+000	9.500000e+000	9.997872e-002
5.726021249308924e-003	4.999226e+000	9.500000e+000	9.998452e-002
5.773164106451779e-003	4.999492e+000	9.500000e+000	9.998984e-002
5.820306963594635e-003	4.999734e+000	9.500000e+000	9.999467e-002
5.867449820737490e-003	4.999951e+000	9.500000e+000	9.999903e-002
5.914592677880345e-003	5.000145e+000	9.500000e+000	1.000029e-001
5.963164106451771e-003	5.000329e+000	9.500000e+000	1.000066e-001
6.011735535023197e-003	5.000499e+000	9.500000e+000	1.000100e-001
6.060306963594624e-003	5.000656e+000	9.500000e+000	1.000131e-001
6.108878392166051e-003	5.000800e+000	9.500000e+000	1.000160e-001
6.157449820737478e-003	5.000930e+000	9.500000e+000	1.000186e-001
6.206021249308904e-003	5.001046e+000	9.500000e+000	1.000209e-001
6.254592677880331e-003	5.001150e+000	9.500000e+000	1.000230e-001
6.303164106451757e-003	5.001245e+000	9.500000e+000	1.000249e-001
6.351735535023184e-003	5.001333e+000	9.500000e+000	1.000267e-001
6.400306963594610e-003	5.001414e+000	9.500000e+000	1.000283e-001
6.448878392166037e-003	5.001489e+000	9.500000e+000	1.000298e-001
6.497449820737464e-003	5.001556e+000	9.500000e+000	1.000311e-001
6.546021249308890e-003	5.001617e+000	9.500000e+000	1.000323e-001
6.594592677880317e-003	5.001670e+000	9.500000e+000	1.000334e-001
6.646021249308886e-003	5.001722e+000	9.500000e+000	1.000344e-001
6.697449820737456e-003	5.001770e+000	9.500000e+000	1.000354e-001
6.748878392166025e-003	5.001814e+000	9.500000e+000	1.000363e-001
6.800306963594594e-003	5.001854e+000	9.500000e+000	1.000371e-001
6.851735535023163e-003	5.001891e+000	9.500000e+000	1.000378e-001
6.903164106451733e-003	5.001923e+000	9.500000e+000	1.000385e-001
6.954592677880302e-003	5.001951e+000	9.500000e+000	1.000390e-001
7.008878392166015e-003	5.001978e+000	9.500000e+000	1.000396e-001
7.063164106451726e-003	5.002003e+000	9.500000e+000	1.000401e-001
7.117449820737439e-003	5.002026e+000	9.500000e+000	1.000405e-001
7.171735535023150e-003	5.002047e+000	9.500000e+000	1.000409e-001
7.226021249308863e-003	5.002066e+000	9.500000e+000	1.000413e-001
7.280306963594575e-003	5.002082e+000	9.500000e+000	1.000416e-001
7.334592677880287e-003	5.002097e+000	9.500000e+000	1.000419e-001
7.397449820737427e-003	5.002111e+000	9.500000e+000	1.000422e-001
7.460306963594567e-003	5.002125e+000	9.500000e+000	1.000425e-001
7.523164106451707e-003	5.002137e+000	9.500000e+000	1.000428e-001
7.586021249308848e-003	5.002148e+000	9.500000e+000	1.000430e-001
7.648878392165989e-003	5.002158e+000	9.500000e+000	1.000432e-001
7.711735535023128e-003	5.002166e+000	9.500000e+000	1.000433e-001
7.774592677880269e-003	5.002173e+000	9.500000e+000	1.000435e-001
7.853164106451694e-003	5.002181e+000	9.500000e+000	1.000436e-001
7.931735535023120e-003	5.002188e+000	9.500000e+000	1.000438e-001
8.010306963594545e-003	5.002194e+000	9.500000e+000	1.000439e-001
8.088878392165971e-003	5.002199e+000	9.500000e+000	1.000440e-001
8.167449820737397e-003	5.002204e+000	9.500000e+000	1.000441e-001
8.246021249308821e-003	5.002208e+000	9.500000e+000	1.000442e-001
8.324592677880247e-003	5.002211e+000	9.500000e+000	1.000442e-001
8.433164106451672e-003	5.002214e+000	9.500000e+000	1.000443e-001
8.541735535023095e-003	5.002217e+000	9.500000e+000	1.000443e-001
8.650306963594520e-003	5.002220e+000	9.500000e+000	1.000444e-001
8.758878392165943e-003	5.002222e+000	9.500000e+000	1.000444e-001
8.867449820737368e-003	5.002224e+000	9.500000e+000	1.000445e-001
8.976021249308793e-003	5.002225e+000	9.500000e+000	1.000445e-001
9.084592677880216e-003	5.002226e+000	9.500000e+000	1.000445e-001
9.094592677880216e-003	5.002226e+000	9.500000e+000	1.000445e-001
9.221735535023068e-003	5.002227e+000	9.500000e+000	1.000445e-001
9.348878392165919e-003	5.002228e+000	9.500000e+000	1.000446e-001
9.476021249308773e-003	5.002228e+000	9.500000e+000	1.000446e-001
9.603164106451624e-003	5.002229e+000	9.500000e+000	1.000446e-001
9.730306963594476e-003	5.002229e+000	9.500000e+000	1.000446e-001
9.857449820737328e-003	5.002230e+000	9.500000e+000	1.000446e-001
9.984592677880180e-003	5.002230e+000	9.500000e+000	1.000446e-001
9.994592677880179e-003	5.002230e+000	9.500000e+000	1.000446e-001
1.000000000000000e-002	5.002230e+000	9.500000e+000	1.000446e-001
